county,x,y
Alba,-157.0,27.0
Arad,-353.0,44.0
Arges,-15.0,-127.0
Bacau,184.0,54.0
Bihor,-306.0,139.0
Bistrita,-57.0,178.0
Botosani,174.0,292.0
Brasov,11.0,-37.0
Braila,273.0,-141.0
Bucuresti,119.0,-234.0
Buzau,171.0,-120.0
Caras-Severin,-334.0,-136.0
Calarasi,176.0,-258.0
Cluj,-192.0,102.0
Constanta,338.0,-277.0
Covasna,89.0,-16.0
Dambovita,40.0,-177.0
Dolj,-169.0,-281.0
Galati,287.0,-40.0
Giurgiu,90.0,-280.0
Gorj,-201.0,-155.0
Harghita,42.0,62.0
Hunedoara,-235.0,-46.0
Ialomita,190.0,-208.0
Iasi,224.0,185.0
Ilfov,132.0,-208.0
Maramures,-145.0,250.0
Mehedinti,-242.0,-235.0
Mures,-63.0,77.0
Neamt,115.0,136.0
Olt,-79.0,-248.0
Prahova,88.0,-131.0
Satu Mare,-265.0,247.0
Salaj,-230.0,175.0
Sibiu,-98.0,-36.0
Suceava,40.0,231.0
Teleorman,-2.0,-305.0
Timis,-398.0,-43.0
Tulcea,370.0,-148.0
Vaslui,279.0,77.0
Valcea,-107.0,-137.0
Vrancea,183.0,-40.0